venue_name_raw;venue_name_canonical;review_status;match_reason
Estádio Dr. Oswaldo Teixeira Duarte (São Paulo, São Paulo);Estádio Dr. Oswaldo Teixeira Duarte;approved;city_suffix
Estádio Eládio de Barros Carvalho (Recife, Pernambuco);Estádio Eládio de Barros Carvalho;approved;city_suffix
Estádio Municipal Dr. Adhemar de Barros;Estádio Fonte Luminosa;approved;official_name
Estádio Municipal Dr. Adhemar de Barros (Araraquara, São Paulo);Estádio Fonte Luminosa;approved;official_name
Estádio Municipal Dr. Adhemar de Barros, Araraquara (Araraquara, São Paulo);Estádio Fonte Luminosa;approved;official_name
Estádio Francisco Stédile (Caxias do Sul, Rio Grande do Sul);Estádio Francisco Stédile;approved;city_suffix
Estádio General Sílvio Raulino de Oliveira;Estádio Municipal General Raulino de Oliveira;approved;official_name
Estádio General Sílvio Raulino de Oliveira (Volta Redonda, Rio de Janeiro);Estádio Municipal General Raulino de Oliveira;approved;official_name
Estadio Raulino de Oliveira;Estádio Municipal General Raulino de Oliveira;approved;short_name
Estádio Governador Magalhães Pinto;Mineirão;approved;official_name
Estádio Governador Magalhães Pinto (Belo Horizonte, Minas Gerais);Mineirão;approved;official_name
Estádio Mineirão;Mineirão;approved;known_name
Governador Magalhães Pinto;Mineirão;approved;official_name
Estádio Heriberto Hülse (Criciúma, Santa Catarina);Estádio Heriberto Hülse;approved;city_suffix
Estádio Ilha do Urubu;Estádio Luso-Brasileiro;approved;temporary_name
Estadio Kleber Andrade;Estádio Kleber José de Andrade;approved;short_name
Estádio Moisés Lucarelli (Campinas, São Paulo);Estádio Moisés Lucarelli;approved;city_suffix
Moisés Lucarelli;Estádio Moisés Lucarelli;approved;short_name
Estádio Municipal João Havelange (Uberlândia, Minas Gerais);Estádio Municipal João Havelange;approved;city_suffix
Estádio Municipal João Havelange, Uberlândia (Uberlândia, Minas Gerais);Estádio Municipal João Havelange;approved;city_suffix
Estádio Municipal Paulo Machado de Carvalho;Estádio do Pacaembu;approved;official_name
Estádio Municipal Paulo Machado de Carvalho (São Paulo, São Paulo);Estádio do Pacaembu;approved;official_name
Mercado Livre Arena Pacaembu;Estádio do Pacaembu;approved;sponsored_name
Pacaembú;Estádio do Pacaembu;approved;nickname
Estádio Municipal Presidente Getúlio Vargas (Fortaleza, Ceará);Estádio Municipal Presidente Getúlio Vargas;approved;city_suffix
